PRODUCTO;CLASIFICACIÓN;PRESENTACIÓN;DESCRIPCIÓN P/WEB
BOTELLA COMUN X 1/2 LT;ARTÍCULOS VARIOS;;
BOTELLA COMUN X 1/4 LT;ARTÍCULOS VARIOS;;
BOTELLA PET X 1 LT C/GATILLO;ARTÍCULOS VARIOS;;
BOTELLA PET X 1/4 C/SPRAY;ARTÍCULOS VARIOS;;
GATILLO;ARTÍCULOS VARIOS;;
SPRAY;ARTÍCULOS VARIOS;;
BIDON TRANSLUCIDO X 5 LTS;ARTÍCULOS VARIOS;;
BIDON AMARILLO X 5 LTS;ARTÍCULOS VARIOS;;
BIDON TRANSLUCIDO X 10 LTS;ARTÍCULOS VARIOS;;
BIDON AMARILLO X 10 LTS;ARTÍCULOS VARIOS;;
GUANTES DE LATX X PAR;ARTÍCULOS VARIOS;;
GUANTES DE NITRILO X PAR;ARTÍCULOS VARIOS;;
CAJA DE GUANTES DE LATEX;ARTÍCULOS VARIOS;;
CAJA DE GUANTES DE NITRILO;ARTÍCULOS VARIOS;;
JABON EN PAN SEISEME X 300 GS;ARTÍCULOS VARIOS;;
GUANTES DE GOMA;ARTÍCULOS VARIOS;;
FLUIDO TIPO ACAROÍNA;HOGAR (MAYORISTA Y MINORISTA);X LT / X1 / X1/2 / X5 LTS;
LAVANDINA EN GEL ;HOGAR (MAYORISTA Y MINORISTA);X LT / X1 / X5 LTS;
JABON LÍQUIDO PARA ROPA AZUL ;HOGAR (MAYORISTA Y MINORISTA);X LT / X1 / X5 LTS;
JABON LÍQUIDO PARA ROPA VERDE;HOGAR (MAYORISTA Y MINORISTA);X LT / X1 / X5 LTS;
JABON LÍQUIDO PARA ROPA CON DESMANCHADOR ;HOGAR (MAYORISTA Y MINORISTA);X1 / X5 LTS;
JABON LÍQUIDO PARA ROPA NEUTRO ;HOGAR (MAYORISTA Y MINORISTA);X LT / X1 / X5 LTS;
JABON LÍQUIDO PARA ROPA CLORADO ;HOGAR (MAYORISTA Y MINORISTA);X LT / X1 / X5 LTS;
JABON LÍQUIDO PARA MANOS ;HOGAR (MAYORISTA Y MINORISTA);X LT / X1 / X5 LTS;
JABON GERMICIDA ;HOGAR (MAYORISTA Y MINORISTA);X5 LTS (A PEDIDO);
SUAVIZANTE CELESTE ;HOGAR (MAYORISTA Y MINORISTA);X LT / X5 / X10 LTS;
AGUA LAVANDINA ;HOGAR (MAYORISTA Y MINORISTA);X LT / X5 / X10 LTS;
DESODORANTE FRAGANCIAS VARIAS ;HOGAR (MAYORISTA Y MINORISTA);X LT / X5 LTS;
LIMPIAVIDRIOS ;HOGAR (MAYORISTA Y MINORISTA);X LT / X1 / X5 LTS;
LIMPIADOR CREMOSO;HOGAR (MAYORISTA Y MINORISTA);X KG / X1 / X5 LTS;
DESODORANTE SILICONADO ;HOGAR (MAYORISTA Y MINORISTA);X LT / X1 / X5 LTS;
CERA ACRÍLICA ;HOGAR (MAYORISTA Y MINORISTA);X LT / X1 / X5 LTS;
SANITARIO INTEGRAL LU  ;HOGAR (MAYORISTA Y MINORISTA);X5 LTS;
PERFUMINA AL ALCOHOL ;HOGAR (MAYORISTA Y MINORISTA);X LT / X1 / X5 / X1/2 / X1/4 LTS / X1/4 C/ SPRAY;
CLOROFER (HIPOCLORITO DE SODIO) ;HOGAR (MAYORISTA Y MINORISTA);X KG / X5 / X10 LTS;
DETERGENTE CONCENTRADO 30% ;HOGAR (MAYORISTA Y MINORISTA);X KG / X1 / X5 / X10 LTS;
DETERGENTE INTERMEDIO 15%;HOGAR (MAYORISTA Y MINORISTA);X KG / X5 / X10 LTS;
ESENCIA HS FULL CONCENTRADA COMÚN;HOGAR (MAYORISTA Y MINORISTA);X LT / X1 / X1/2 / X1/4 LTS ;* consultar por fragancias 
ESENCIA HS FULL CONCENTRADA CÍTRICO;HOGAR (MAYORISTA Y MINORISTA);X LT / X1 / X1/2 / X1/4 LTS ;* consultar por fragancias 
ESENCIA HS FULL CONCENTRADA PREMIUM;HOGAR (MAYORISTA Y MINORISTA);X LT / X1 / X1/2 / X1/4 LTS ;* consultar por fragancias 
GRASA DE SILICONA POMO X 35 GR;HOGAR (MAYORISTA Y MINORISTA);;
GRASA DE SILICONA POMO X 50 GR;HOGAR (MAYORISTA Y MINORISTA);;
GRASA DE SILICONA POTE X 250 GR;HOGAR (MAYORISTA Y MINORISTA);;
GRASA DE SILICONA POTE X 550 GR;HOGAR (MAYORISTA Y MINORISTA);;
HIDROFLEX ;HOGAR (MAYORISTA Y MINORISTA);X LT / X1 / X5 LTS;
ESENCIAS FULL ;MATERIAS PRIMAS ;X LT / X1 / X1/2 / X1/4 LTS ;
ESENCIAS PERFUMERÍA ;MATERIAS PRIMAS ;X LT / X1 / X1/2 / X1/4 LTS ;
DILUYENTE E - 43 ;MATERIAS PRIMAS ;X LT / X1 / X5 LTS;
LESS 70 X KG;MATERIAS PRIMAS ;;
LESS 25 X LT;MATERIAS PRIMAS ;;
BASE PARA SUAVIZANTE SÓLIDA;MATERIAS PRIMAS ;;
BASE PARA SUAVIZANTE LÍQUIDA 4+1;MATERIAS PRIMAS ;;
KIT P/SUAVIZANTE ;MATERIAS PRIMAS ;;
SAL BOLSA X 50 KGS;MATERIAS PRIMAS ;;
SAL BOLSA X 25 KGS;MATERIAS PRIMAS ;;
NONIL FENOL X LT;MATERIAS PRIMAS ;;
EE 35 N EMULSION DE SILICONAS;MATERIAS PRIMAS ;;
ACEITE DE SILICONAS AK-1000;MATERIAS PRIMAS ;;
ANTIESPUMA WAS/EROL;MATERIAS PRIMAS ;;
ALCOHOL ISOPROPILICO X LT;MATERIAS PRIMAS ;;
DILUYENTE MINERAL (1006);MATERIAS PRIMAS ;;
ACETATO DE BUTILO;MATERIAS PRIMAS ;;
BUTILGLICOL X LT;MATERIAS PRIMAS ;;
BIOCIDA (CONSERVANTE);MATERIAS PRIMAS ;;
COLORANTE COMÚN ;MATERIAS PRIMAS ;;
COLORANTE VASANA AL AGUA;MATERIAS PRIMAS ;;
COLORANTE VASANA A LA GRASA;MATERIAS PRIMAS ;;
OPACANTE;MATERIAS PRIMAS ;;
NACARANTE;MATERIAS PRIMAS ;;
CLORURO DE BANZALCONIO 80;MATERIAS PRIMAS ;;
DIPROPILENGLICOL ;MATERIAS PRIMAS ;;
MONOETILENGLICOL ;MATERIAS PRIMAS ;;
PROPILENGLICOL;MATERIAS PRIMAS ;;
ACIDO SULFONICO X KG;MATERIAS PRIMAS ;;
