JABON LÍQUIDO PARA MANOS ;HOGAR (MAYORISTA Y MINORISTA);X LT , X1 ,  X5 LTS;
JABON GERMICIDA ;HOGAR (MAYORISTA Y MINORISTA);X5 LTS (A PEDIDO);
SUAVIZANTE CELESTE ;HOGAR (MAYORISTA Y MINORISTA);X LT , X5 , X10 LTS;
AGUA LAVANDINA ;HOGAR (MAYORISTA Y MINORISTA);X LT , X5 , X10 LTS;
DESODORANTE FRAGANCIAS VARIAS ;HOGAR (MAYORISTA Y MINORISTA);X LT , X5 LTS;
LIMPIAVIDRIOS ;HOGAR (MAYORISTA Y MINORISTA);X LT , X1 , X5 LTS;
LIMPIADOR CREMOSO;HOGAR (MAYORISTA Y MINORISTA);X KG , X1 ,  X5 LTS;
DESODORANTE SILICONADO ;HOGAR (MAYORISTA Y MINORISTA);X LT ,  X1 , X5 LTS;
CERA ACRÍLICA ;HOGAR (MAYORISTA Y MINORISTA);X LT ,  X1 , X5 LTS;
SANITARIO INTEGRAL LU  ;HOGAR (MAYORISTA Y MINORISTA);X5 LTS;
PERFUMINA AL ALCOHOL ;HOGAR (MAYORISTA Y MINORISTA);X LT , X1 , X5 , X1/2 ,  X1/4 LTS , X1/4 C/ SPRAY;
CLOROFER (HIPOCLORITO DE SODIO) ;HOGAR (MAYORISTA Y MINORISTA);X KG , X5 , X10 LTS;
DETERGENTE CONCENTRADO 30% ;HOGAR (MAYORISTA Y MINORISTA);X KG , X1 , X5 , X10 LTS;
DETERGENTE INTERMEDIO 15%;HOGAR (MAYORISTA Y MINORISTA);X KG , X5 , X10 LTS;
ESENCIA HS FULL CONCENTRADA COMÚN;HOGAR (MAYORISTA Y MINORISTA);X LT , X1 , X1/2 , X1/4 LTS ;* consultar por fragancias 
ESENCIA HS FULL CONCENTRADA CÍTRICO;HOGAR (MAYORISTA Y MINORISTA);X LT , X1 , X1/2 , X1/4 LTS ;* consultar por fragancias 
ESENCIA HS FULL CONCENTRADA PREMIUM;HOGAR (MAYORISTA Y MINORISTA);X LT , X1 , X1/2 , X1/4 LTS ;* consultar por fragancias 
GRASA DE SILICONA POMO X 35 GR;HOGAR (MAYORISTA Y MINORISTA);;
GRASA DE SILICONA POMO X 50 GR;HOGAR (MAYORISTA Y MINORISTA);;
GRASA DE SILICONA POTE X 250 GR;HOGAR (MAYORISTA Y MINORISTA);;
GRASA DE SILICONA POTE X 550 GR;HOGAR (MAYORISTA Y MINORISTA);;
HIDROFLEX ;HOGAR (MAYORISTA Y MINORISTA);X LT , X1 , X5 LTS;
ESENCIAS FULL ;MATERIAS PRIMAS ;X LT , X1 , X1/2 , X1/4 LTS ;
ESENCIAS PERFUMERÍA ;MATERIAS PRIMAS ;X LT , X1 , X1/2 , X1/4 LTS ;
DILUYENTE E - 43 ;MATERIAS PRIMAS ;X LT , X1 , X5 LTS;
LESS 70 X KG;MATERIAS PRIMAS ;;
LESS 25 X LT;MATERIAS PRIMAS ;;
BASE PARA SUAVIZANTE SÓLIDA;MATERIAS PRIMAS ;;
BASE PARA SUAVIZANTE LÍQUIDA 4+1;MATERIAS PRIMAS ;;
